system:index,NDSI_Snow_Cover,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_03_03,33.739274428360496,1.477345917E12,1597683599,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_03,1362355200000,1362268800000,1639873253298854,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_04,31.142735948021215,1.477339319E12,1612199214,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_04,1362441600000,1362355200000,1639873628465136,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_05,,1.477339308E12,1597276754,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_05,1362528000000,1362441600000,1639873661102710,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_06,,1.477339323E12,1611461845,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_06,1362614400000,1362528000000,1639867757638977,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_07,60.095036462008906,1.477338813E12,1577477422,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_07,1362700800000,1362614400000,1639872562004014,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_08,34.95229772907601,1.487973976E12,1603103013,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_08,1362787200000,1362700800000,1639871645957596,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_09,32.74766049524445,1.487978243E12,1612439999,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_09,1362873600000,1362787200000,1639870449061888,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_10,,1.477327339E12,1611246839,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_10,1362960000000,1362873600000,1639872376149396,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_11,,1.477321398E12,1618315459,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_11,1363046400000,1362960000000,1639873327407719,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_12,,1.477321389E12,1591439969,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_12,1363132800000,1363046400000,1639870221454229,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_13,,1.477321405E12,1630680143,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_13,1363219200000,1363132800000,1639867766253804,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_14,,1.477315454E12,1607234099,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_14,1363305600000,1363219200000,1639865611943143,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_15,,1.477315473E12,1598932600,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_15,1363392000000,1363305600000,1639866606912187,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_16,,1.47731546E12,1583126360,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_16,1363478400000,1363392000000,1639865334369289,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_17,17.0,1.487974803E12,1585374095,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_17,1363564800000,1363478400000,1639872471665982,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_18,,1.48797305E12,1593644813,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_18,1363651200000,1363564800000,1639868371899876,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_19,,1.477309805E12,1583736324,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_19,1363737600000,1363651200000,1639871532079049,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_20,,1.477307555E12,1576889365,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_20,1363824000000,1363737600000,1639865633979995,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_21,50.12701189643108,1.477303822E12,1578224756,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_21,1363910400000,1363824000000,1639865615370198,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_22,52.700233281493006,1.477303792E12,1599838887,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_22,1363996800000,1363910400000,1639865376018185,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_23,49.62155060250185,1.477303674E12,1579912240,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_23,1364083200000,1363996800000,1639873341506105,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_24,,1.477298351E12,1603673213,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_24,1364169600000,1364083200000,1639868917067915,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_25,27.140003089439247,1.477298364E12,1595665764,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_03_25,1364256000000,1364169600000,1639867377433960,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
