system:index,LST_Day_1km,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_03_07,13217.85914552737,1.508823103223E12,778880710,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_07,1362700800000,1362614400000,1638761641389255,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_08,13757.787833815455,1.508812896081E12,775607918,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_08,1362787200000,1362700800000,1638761641980500,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_09,13847.807798493475,1.508817236326E12,780875494,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_09,1362873600000,1362787200000,1638761642967890,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_10,,1.508812609264E12,773850145,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_10,1362960000000,1362873600000,1638761643466954,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_11,,1.508846246344E12,781758353,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_11,1363046400000,1362960000000,1638761644066524,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_12,,1.508809876454E12,773765212,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_12,1363132800000,1363046400000,1638761644656039,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_13,,1.50881367002E12,813894694,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_13,1363219200000,1363132800000,1638761645223063,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_14,,1.508822463554E12,793208328,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_14,1363305600000,1363219200000,1638761645803969,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_15,,1.508822528935E12,774006674,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_15,1363392000000,1363305600000,1638761646430119,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_16,,1.508826923695E12,741230112,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_16,1363478400000,1363392000000,1638761646971158,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_17,13483.0,1.508831928318E12,739926530,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_17,1363564800000,1363478400000,1638761647564443,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_18,,1.508831435961E12,771115200,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_18,1363651200000,1363564800000,1638761648038232,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_19,,1.508821773177E12,775218278,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_19,1363737600000,1363651200000,1638761648549228,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_20,13079.0,1.508816827158E12,779284206,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_20,1363824000000,1363737600000,1638761649170250,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_21,13525.674934725848,1.508816245386E12,777891581,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_21,1363910400000,1363824000000,1638761649781995,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_22,13201.027757200749,1.50880781748E12,781562151,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_22,1363996800000,1363910400000,1638761650347036,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_23,13212.984458259325,1.508837435079E12,772730582,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_23,1364083200000,1363996800000,1638761650971464,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_24,,1.50883723948E12,785884356,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_24,1364169600000,1364083200000,1638761651535475,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_25,13534.919020715633,1.508821340898E12,796699143,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_25,1364256000000,1364169600000,1638761652136825,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_26,,1.508829598677E12,783971667,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_26,1364342400000,1364256000000,1638761652729969,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_03_27,,1.508843142587E12,808397728,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_03_27,1364428800000,1364342400000,1638761653261993,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
