,mean,sd,quality
2014-10-14,72.08308641975309,314.3244311680289,100.0
2014-10-15,71.86296296296297,314.0042974922655,100.0
2014-10-16,71.6830864197531,313.7619563404794,100.0
2014-10-17,71.43913580246914,313.38178522051004,100.0
2014-10-18,71.0783950617284,312.7825673669202,100.0
2014-10-19,70.6179012345679,311.99947046716306,100.0
2014-10-20,70.13283950617284,311.08847220378715,100.0
2014-10-21,69.86567901234568,310.594166002592,100.0
2014-10-22,69.66641975308643,310.25302824996174,100.0
2014-10-23,69.43827160493827,309.84640544465793,100.0
2014-10-24,69.32320987654322,309.68808844475745,100.0
2014-10-25,69.19271604938271,309.4833200311947,100.0
2014-10-26,69.03765432098766,309.2312073080255,100.0
2014-10-27,68.95086419753086,309.12486379777647,100.0
2014-10-28,69.75543209876543,313.06083848850125,100.0
2014-10-29,69.61753086419753,312.8429202991929,100.0
2014-10-30,69.4458024691358,312.55715202529035,100.0
2014-10-31,69.14888888888889,311.9864377741443,100.0
2014-11-01,69.02987654320988,311.824804267131,100.0
2014-11-02,69.24901234567902,313.2982363364216,100.0
2014-11-03,69.17950617283951,313.226380785133,100.0
2014-11-04,69.0095061728395,312.9501429017937,100.0
2014-11-05,68.82802469135802,312.66137973221026,100.0
2014-11-06,68.66814814814815,312.41297301052936,100.0
2014-11-07,68.56493827160494,312.30208120553516,100.0
2014-11-08,68.53617283950616,312.2962580250038,100.0
2014-11-09,68.16135802469135,311.52411845936217,100.0
2014-11-10,68.04555555555557,311.34546731484625,100.0
2014-11-11,68.0437037037037,311.34574402280026,100.0
2014-11-12,68.0437037037037,311.34574402280026,100.0
2014-11-13,68.0437037037037,311.34574402280026,100.0
2014-11-14,68.0437037037037,311.34574402280026,100.0
2014-11-15,68.0437037037037,311.34574402280026,100.0
2014-11-16,68.0437037037037,311.34574402280026,100.0
2014-11-17,67.99654320987655,311.2362857386671,100.0
2014-11-18,67.76716049382715,310.7589155367653,100.0
2014-11-19,67.41382716049384,310.0334475325521,100.0
2014-11-20,67.04950617283951,309.2894160608363,100.0
2014-11-21,66.84234567901235,308.887601880812,100.0
